,Number of Carbons,Species,End Weight,End mol fraction
0,7.0,CCCCCCC,33.069685767526416,0.33002347777121976
1,0.0,[Ar],0.0,0.0
2,0.0,[He],0.0,0.0
3,0.0,[Ne],0.0,0.0
4,0.0,N#N,0.0,0.0
5,2.0,C=C,2.953970048439891e-11,1.0529676052122393e-12
6,4.0,C=CCC,1.4257660297369592e-16,2.5411317943422904e-18
7,4.0,CC=CC,0.0,0.0
8,0.0,[H][H],0.00019667854891328295,9.756461144179363e-05
9,1.0,C,10.746516455715371,0.6698670587676541
10,2.0,CC,0.00035779409476380974,1.1898848631503728e-05
11,8.0,C=CC=CC(=C)CC,2.585209686681997e-34,2.3896573358489384e-36
